id,Question,optionA,optionB,optionC,optionD,correct_option,Time,Explanation
320,Who has been appointed as the Pakistan's envoy to India?,Sohail Mahmood,Qadeer Hussain,Mohammad Arif,None of the above,A,45,Sohail Mahmood was appointed as Pakistan's new envoy to India. Mahmood currently Pakistan's ambassador in Turkey. He will replace Abdul Basit who has already completed his three-year tenure in New Delhi.
321,From which place the Union Government approved metro station extension recently?,Patna,Najafgarh,Shrinagar,Ranchi,B,45,"The Union Government has approved the underground metro extension from Najafgarh to Dhansa Bus stand in the next three years at a cost of Rs 565 crores. Najafgarh-Dhansa Bus stand Metro Extension is estimated to the travel needs of an additional 10,000 passengers daily."
322,"Which country planned to invest Rs 10,000-crore Deep Sea Mission?",New Zealand,India,Afghanistan,Belgium,B,45,"India planned to invest Rs 10,000-crore Deep Sea Mission to commence by the year end to explore mineral wealth beneath the ocean floor. It was an interministerial and interdisciplinarity project. hey give seven and a half thousand kilometres of coastline and 2.4 million square km of Exclusive Economic Zone."
323,Which bank has tied up with Cashkaro.com to launch card-linked offers as part of its loyalty programme for both offline and online shoppers?,Yes Bank,Kotak Mahindra Bank,Lakshmi Vilas Bank,Karnataka Bank,A,45,"Cashkaro.com ties up with YES Bank to launch card-linked offers as part of its loyalty programme for both offline and online shoppers. It is available on all YES BANK debit cards, and will be extended to all other payment products of YES Bank in the near future. The initiative will now enable YES Bank debit card holders to earn customised cashback offers from a wide range of participating online merchants."
324,The 29th series of IndiaIndonesia CORPAT is being conducted at ________.,Haldia Port,Paradip Port,Port Blair,Kandla Port,C,45,"The 29th series of IndiaIndonesia CORPAT is scheduled from 09 to 25 May 17 with the opening ceremony being conducted at Port Blair of Andaman and Nicobar icelands. The CORPAT reflects the shared concerns between the two countries for the peaceful Indian Ocean for the benefit of an international community. The closing ceremony of the CORPAT is scheduled at Belawan, Indonesia from 22 - 25 May 17."
325,The National Technology Day is celebrated on which of the following date?,May 10th,May 9th,May 12th,May 11th,D,45,"The National Technology Day is observed on May 11 of every year to memorise the anniversary of Shakti, the Pokhran nuclear test held on 11 May 1998. It marks India's scientific prowess and technological advancements and the day glorifies the importance of science in day to day life and motivates students to adopt science as the career option."
326,"Which state government signs MoC with the Iowa Department of Agriculture and Land Stewardship to promote research and development in science, agriculture and life sciences?",Uttar Pradesh,Andra Pradesh,Haryana,Madhya Pradesh,B,45,"The Andhra Pradesh State government entered into the MoC with the Iowa Department of Agriculture and Land Stewardship, Iowa State, to promote research and development in science, agriculture and life sciences. The centre works to provide access to quality seed, facilitating seed trade, and promoting the growth and development of the seed industry."
327,Which of the following allowed the investors to buy mutual fund through digital wallets?,Stock Exchange board of India (SEBI),Financial analysis department,Monitoring Mutual Fund Investments,Credit Rate List department,A,45,"Stock Exchange board of India (SEBI) allowed the investors to buy mutual fund schemes up to Rs 50,000 through digital wallets. This move is to promote digital payments in the MF industry and channelise household savings into the capital market."
328,Which company has signed a non-exclusive term sheet to acquire rival FreeCharge?,MChek,Obopay,PayTM,Paymate,C,45,"Alibaba Group-backed Paytm has signed a non-exclusive term sheet to acquire rival FreeCharge, the digital payments platform owned and operated by beleaguered online marketplace Snapdeal, in what is expected to be an all-cash deal. The deal, estimated at between $45 million and $90 million, could be finalised in a month once the deal is succesful."
329,Who is appointed as the secretary in the Defence ministry recently?,Anant Kumar Singh,Subrata Gupta,Puneet Agarwal,Sanjay Mitra,D,45,"Sanjay Mitra, a 1982 batch IAS officer of West Bengal cadre will take over as defence secretary. Mr Mitra is currently secretary in the road transport ministry. He has been appointed as the officer-on-special duty in the Ministry of Defence. He will take charge as the Defence Secretary on May 24."
330,Leena Nair is appointed as the secretary in the ministry of _____________.,Home Affairs,Tribal affairs,External Affairs,"Chemicals and Fertilizers, Parliamentary Affairs",B,45,"Leena Nair IAS presently Secretary, Ministry of Women &amp; Child Development. She has been given additional Charge of the post of Secretary, Ministry of Tribal Affairs."
331,Which metro services decided to employ the transgender workers in India?,Delhi Metro services,Mumbai Metro services,Chennai Metro Services,Kochi Metro services,D,45,"The Kochi Metro Rail Limited (KMRL) has decided to induct transgender employees based on their educational qualifications and experience, extending a helping hand to the marginalised section that often faces violence and discrimination."
332,Which Indian wrestler won a bronze medal in Greco-Roman weight divisions in the Asian Wrestling Championship?,Harpreet Singh,Sushil Kumar,Amit Kumar,Rajinder Singh,A,45,Harpreet Singh won a bronze medal in Greco-Roman weight divisions in the Asian Wrestling Championship held at the K.D. Jadhav arena in the Indira Gandhi Stadium Complex in New Delhi. He he bagged a bronze in the Greco-Roman 80 kilogram category.
333,"RBI has initiated 'prompt corrective action' on this bank and restrict bank from hiring, opening branches and giving big ticket loans.",Bank of Baroda,Vijaya Bank,IDBI Bank,Dena Bank,C,45,"The Reserve Bank of India (RBI) has initiated 'prompt corrective action' on IDBI BankBSE 0.45 % which will restrict bank from hiring, opening branches and giving big ticket loans. The 'prompt corrective action' is triggered when a bank's bad loan is above 6%, it reports losses for two consecutive years. IDBI Bank's gross NPA had crossed 15% in quarter ending December 2016."
334,"India and this country agreed to work closely in various sectors, including security, nuclear energy, and disaster management.",Romania,Singapore,Sri Lanka,Russia,D,45,"India and Russia agreed to work closely in various sectors, including security, nuclear energy, and disaster management in India-Russia Inter-Governmental Commission (IRIGC-TEC) meeting in New Delhi. India planned to celebrate the 70th year of Indo-Russian diplomatic relations."
335,Which flight going to introduce 50 ATR-72 aircraft?,Indigo,Sahara,Air Asia,Air India,A,45,"India's largest airline IndiGo has signed a non-binding term sheet for the purchase of 50 ATR-72 aircraft. The government plans to improve air connectivity in smaller towns by enticing airlines to operate at Rs 2,500 per seat for up to an hour's journey."
336,Which state Law University has signed an agreement with The International Financial Services Centre (IFSC) to collaborate on efforts for skill development in the field of international financial services?,Jharkhand,Gujarat,Odisha,Meghalaya,B,45,"The International Financial Services Centre (IFSC) at Gujarat International Finance-Tec City (GIFT IFSC) has signed an agreement with Gujarat National Law University (GNLU) to collaborate on efforts for skill development in the field of international financial services. They work jointly towards courses, training and certificate programs in the field of international financial services law."
337,Which organisation has been instructed by Home Ministry to use core banking services?,Indian Institute of Packaging (IIP),Agricultural and Processed Food Products Export Development Authority (APEDA),Non Government Organisation (NGO),Indian Institute of Foreign Trade (IIFT),C,45,"The Home Ministry has instructed 5,845 Non - Governmental Organisations (NGOs) to open their accounts in banks having core banking facilities and furnish details for real-time access to security agencies in case of any discrepancy. In the latest series of steps taken by the NDA government aimed at checking ""errant"" NGOs."
338,Who is contributed with the 2017 Young Scientist award from the Indian National Science Academy (INSA)?,T S Gupta,Vijay Singh,Vikram Vishal,Sidharth Malhotra,C,45,"Prof. Vikram Vishal, the assistant professor in the Earth Sciences department of the Indian Institute of Technology (IIT) Bombay, has been conferred with the 2017 Young Scientist award from the Indian National Science Academy (INSA). He won the award for proposing a scientific model that can trap the carbon dioxide emitted by industries and inject them in hard rock within the sub-surface of earth."
339,Which digital filing system has been launched for Supreme Court of India (SCI)?,Integrated Case Management Information System,Integrated Digital Transparency System,Integrated e-filing Information System,Integrated Transparency Information System,A,45,"Integrated Case Management Information System (ICMIS) was inaugurated on Wednesday by Prime Minister Narendra Modi, in an event attended by Chief Justice of India J.S. Khehar aims at serving as a digital repository for case-related information. It include the option of e-filing cases, checking listing dates, case status, online service of notice/summons, office reports and overall tracking of progress of a case filed with the apex court registry."
340,Which online facility has been launched by the Union Government to provide direct solution to problem of agriculture sector?,e-Krishi Samasya,e-Krishi Samvad,e-Krishi Samveda,e-Krishi Solution,B,45,"Shri Radha Mohan Singh, Union Minister for Agriculture and Farmers Welfare, launched e-Krishi Samvad at Krishi Bhawan. It is internet-based interface and is a unique platform that will provide direct and effective solutions to the problems faced by farmers and stakeholders in the agriculture sector."
341,Which Indian captain was named skipper of Cricket Australia's Greatest Champions Trophy XI?,Sachin Tendulkar,Anil Kumble,MS Dhoni,Sourav Ganguly,D,45,"Indian captain Sourav Ganguly was named skipper of Cricket Australia's Greatest Champions Trophy XI. Others named in the XI are Chris Gayle, Herschelle Gibbs, Jacques Kallis, Damien Martyn, Rahul Dravid (wk), Shane Watson, Daniel Vettori, Kyle Mills, Muttiah Muraltiharan and Glenn McGrath."
342,Which department launched a new e-facility to link a person's Aadhaar with the PAN?,Department of Revenue,Central Bureau of Narcotics,Income Tax department,Reserve Bank of India (RBI),C,45,"The Income Tax department launched a new e-facility to link a person's Aadhaar with the Permanent Account Number (PAN). The department's e-filing website incometaxindiaefiling.gov.in has created a new link on its homepage making it ""easy"" to link the two unique identities of an individual. It requires a person to punch in his PAN number, Aadhaar number and the "" exact name as given in the Aadhaar card."
343,Which city ranked tops a list of 22 tech cities across the world in affordable living?,Chennai,Bengaluru,Mumbai,Pune,B,45,"India's silicon city tops a list of 22 tech cities across the world in affordable living. Overall, Bengaluru ranks a low 20th among successful tech cities in the world."
344,Vinay Mohan Kwatra appointed as India's next ambassador to this country.,France,Bangladesh,Austria,Canada,A,45,Vinay Mohan Kwatra has been appointed as India's next ambassador to France. He is currently a joint secretary in the Prime Minister's Office. He has also held the position of joint secretary in-charge of the counter-terrorism division in the MEA. He has experience dealing with the UN organisations such as International Labour Organisation (ILO) and World Health Organisation (WHO).
345,What is the theme of International Nurse day 2017?,Nurses: A Force for Change - A vital resource for health,"Nurses: A Force for Change: Care Effective, Cost Effective",Nurses: A Force for Change: Improving health systems' resilience,Nurses: A voice to lead - Achieving the Sustainable Development Goals,D,45,"International Nurses Day (IND) is celebrated every year all around the world on 12th of May to commemorate the birth anniversary of the Florence Nightingale and to mark the nurses contributions towards people's health. The theme of 2017 is ""Nursing: A voice to lead - Achieving the Sustainable Development Goals""."
346,Which of the following is the first state of introducing a logo for identifying vehicles driven by persons with hearing impairment?,Kerala,Assam,Telangana,Andra Pradesh,C,45,"Telangana has become the first state in the country to introduced a logo for identifying vehicles driven by persons with hearing impairment. The logo was designed by city-based graphic designer Manikanta Annapragada who was the first person to obtain a driving licence under the 'hearing impaired' category. The logo consists of a hearing impaired mark along with text saying, ""Driver is deaf - Please watch out""."
347,"How many comapnies are listed in the ""Aon Best Employers India in the 2017"" award?",17,19,21,20,B,45,"Aon Hewitt has come out with a list of 19 organisations as Best Employers India 2017 that lead the way with talent practices and are creating competitive advantage through their employees. Those recognised are Aegis Ltd, Bajaj Finance, Bayer, Bharti Airtel, Bharti Infratel, DHL Express (India), Godrej Agrovet, Godrej Consumer Products, IndiGo and InterGlobe Enterprises, Mahindra and Mahindra Financial Services, Marriott Hotel India, Schneider Electric India, Sony Pictures Networks, Tata AIA Life Insurance, Tata Communications, the Oberoi Group, Whirlpool of India and WNS Global Services."
348,Who is appointed as the secretary of Department of Telecommunications (DOT)?,Jagdish Prasad Meena,Rashmi Verma,Aruna Sundararajan,Rita A Teaotia,C,45,"Aruna Sundararajan is appointed as the secretary of Department of Telecommunications (DOT). At present, she is secretary of IT and electronics department. She replaces PK Pujari. The telecom department is also preparing for 4G and 5G auctions this fiscal, where spectrum from the premium 700 Mhz band and airwaves in the 3400 Mhz and 3600 Mhz bands for 5G services."
349,"On this Neptune-sized planet, NASA scientists detected a strong water signature in the atmosphere.",HAT-P-16b,HAT-P-18b,HAT-P-23b,HAT-P-26b,D,45,"National Aeronautics and Space Administration( NASA) scientists detected ""a strong water signature"" in the atmosphere of a distant Neptune-sized planet called HAT-P-26b. HAT-P-26b has a primitive atmosphere composed entirely of hydrogen and helium.It is located about 437 light-years away, HAT-P-26b orbits a star roughly twice as old as our Sun."
350,Who is appointed as General Manager (GM) of the Eastern railways?,Harinder Rao,Dr. Anil Kumar,Akhil Agrawal,Anil K Gupta,A,45,"Senior bureaucrats Harinder Rao have been appointed as General Manager (GM) of the Eastern Railways by the Appointments Committee of the Cabinet (ACC). The Eastern Railways has four divisions -- Howrah, Sealdah, Asansol and Malda."
351,Who is appointed as the goodwill ambassador for hepatitis?,Shah Rukh khan,Amitabh Bachchan,Amir Khan,Sanjai Dutt,B,45,"The World Health Organisation today appointed Amitabh Bachchan as its goodwill ambassador for hepatitis in South-East Asia region to boost awareness and intensify action to arrest the epidemic. This seeks to provide a road map for sustainable prevention, diagnosis, treatment and care for all forms of hepatitis within the universal health care framework."
352,Anil K Gupta have been appointed as General Manager (GM) of _____________ Zone.,Western railway,Eastern railway,Northern railway,Southern railway,A,45,"Anil K Gupta have been appointed as General Manager (GM) of the Western Railway zone. The Western Railways has Mumbai Central, Vadodara, Ahmedabad, Rajkot, Bhavnagar and Ratlam divisions under it."
353,Who is conferred with the Woodrow Wilson Award for Global Corporate Citizenship?,Aarthi Subramanian,Arundhati Bhattacharya,Chanda Kochhar,Nita Ambani,C,45,ICICI Bank CEO and Managing Director Chanda Kochhar has become the first Indian woman to receive the Woodrow Wilson Award for Global Corporate Citizenship. It was conferred on Kochhar for demonstrating a commitment to the common good beyond the bottom line.
354,Which ex-India player awarded an honorary life membership to the Marylebone Cricket Club (MCC)?,Gopal Sharma,Harbhajan Singh,Ajit Agarkar,V. V. S. Laxman,D,45,"The former India batsman V.V.S. Laxman became the latest ex-India player to be awarded an honorary life membership to the Marylebone Cricket Club (MCC). He scored 8,781 Test runs at an average of 45.97 and 2338 ODI runs at 30.76."
355,"Which country tests a ""Lunar Palace"" for simulating a lunar-like environment on earth?",Japan,India,China,Russia,C,45,"China has set up a 160-square-meter (1,720-square-foot) laboratory called as ""Yuegong-1"", or ""Lunar Palace"" for simulating a lunar-like environment to test a life-support system that may allow future astronauts to spend longer periods of time in space."
356,Which Public service commission decided to share online scores of candidates taking competitive exams in order to boost hiring by the private sector?,Union Public Service Commission,Assam Public Service Commission,Uttar Pradesh Public Service Commission,Kerala Public Service Commission,A,45,"The Union Public Service Commission (UPSC) has decided to share online scores of candidates taking competitive exams. This is part of the government's proposal to boost hiring by the private sector. The available scores will act as a useful database to other employers to enable them to identify good, employable candidates."
357,India's first electric radio cabs trial is launched in _______________.,Mumbai,Pune,New Delhi,Nagpur,D,45,"Nagpur will be the first Indian city to get electric radio cabs. The electric taxi is one of the ambitious projects of the NDA government, part of the UNDP millennium goals and also a method to tackle increasing pollution in the country. The project will be undertaken by Nagpur Municipal Corporation."
358,Which organization launched the National Contact Centre with a toll-free No 1800111950?,Planning Commission,Election Commission of India,Aadhaar,Reserve Bank of India,B,45,"The Election Commission of India launched National Contact Centre with a toll-free No. 1800111950. It is operated on a National Grievance Redressal System Software, a single window platform to manage complaints and feedback received through calls, emails, SMS and website access in an integrated and time-bound manner."
359,What are the names of the two missiles in the Spyder missile?,Python and Derby,Solid rocket motor,Minuteman ICBM,Anti tank missile,A,45,"Surface-to-air PYthon and DERby(Spyder) missile system was test fired from the mobile launching complex-III of the Integrated Test Range (ITR) at Chandipur, Odisha. The defence system comprises two missiles - Python and Derby with an active onboard radar which makes the Spyder system more lethal. Both the missiles are smokeless which makes it harder to detect them visually and the launch position."
360,Which Union Minister launched the mobile app of (MHA) Grievances Redressal Mobile Application and Border Security Force (BSF)?,Ramvilas Paswan,Y.S. Chowdary,Rajnath Singh,Venkaiah Naidu,C,45,Home Minister Rajnath Singh launched a mobile-based grievance redressal application for central paramilitary personnel and BSFMyApp' for the personnel of the Border Security Force which can be downloaded from the website of the respective forces and the MHA app from the home ministry's official portal.
361,Nitin Gadkari launched the NHAI __________ bond at the London Stock Exchange.,Yankee Bonds,Euroyen bonds,Samurai bonds,Masala Bonds,D,45,"Union Minister of Road Transport and Highways Nitin Gadkari launched the National Highways Authority of India (NHAI) Masala Bond for Rs 3,000 crore at the London Stock Exchange. The initial issue amount of Rs 1,500 crore was upsized to Rs 3,000 crore at a price yielding 7.30% annually in view of the highly positive response from the investor market."
362,Who is elected as the head of FIFA's governance Committee?,Suresh yadav,Krishnan Singh,Mukul Mudgal,Shriram murthy,C,45,Justice (Retd) Mukul Mudgal was elected as head of FIFA's governance committee at the world football governing body's 67th Congress in Bahrain's capital city of Manama. Mudgal has been involved in overseeing the conduct of international cricket matches and IPL games at the Ferozshah Kotla Stadium.
363,Sakshi Malik and these 2 women wrestler won silver in Asian Wrestling Championship?,Vinesh Phogat &amp; Divya Kakran,Babita Kumari &amp; Vinesh Phogat,Divya Kakran &amp; Geeta Phogat,Babita Kumari &amp; Geeta Phogat,A,45,"Sakshi Malik, Vinesh Phogat &amp; Divya Kakran have bagged silver medals at the Asian Wrestling Championship. Divya Kakran and Vinesh Phogat bagged silver in the 69 kg and 55kg categories."
364,Hero - A biography of Sachin Ramesh Tendulkar was written by ___________.,David Conn,Devendra Prabhudesai,David Walsh,Darren Rovell,B,45,Hero - A biography of Sachin Ramesh Tendulkar written by sports journalist Devendra Prabhudesai. It enclose the evolution of an incredibly talented teenager from a middle-class household of Mumbai into a world champion and a legend.
365,Which country will host the 2017 Arctic Energy Summit (AES)?,Finland,Ireland,France,Iraq,A,45,"The 2017 Arctic Energy Summit is a multidisciplinary event expected to draw several hundred industry officials, scientists, academics, policy makers, energy professionals, and community leaders together to collaborate and share best practices as they relate to a comprehensive array of Arctic energy issues. It was host by Finland during Finland's Chairmanship of the Arctic Council (2017-2019)."
366,Who won the first gold medal for India at the Asian Wrestling Championship?,Sushil Kumar Solanki,Hardeep Singh,Bajrang Punia,Rajinder Singh,C,45,Bajrang Punia won the first gold medal for India at the Asian Wrestling Championship by defeating Lee Seungchul of South Korea in the final of the men's 65 kg Freestyle division.
367,Who is appointed as the new chairman of South Asian Federation of Exchanges (SAFE)?,Naseem Ahmad,Y. Venugopal Reddy,Narendra Kumar,Ashishkumar Chauhan,D,45,"Ashishkumar Chauhan, the current managing director and chief executive officer of the Bombay Stock Exchange (BSE) is appointed as the new chairman of South Asian Federation of Exchanges (SAFE). SAFE is a forum of 28 member entities from the SAARC Region Afghanistan, Bangladesh, Bhutan, India, Maldives, Nepal, Pakistan and Sri Lanka."
368,Which company sponsor the New Zealand cricket team in the upcoming ICC Champions Trophy?,Nissan,Oppo,Amul,MRF Tyres,C,45,"Gujarat based dairy giant Amul will be the principal sponsors of the New Zealand cricket team for the upcoming Champions Trophy. The Blackcaps, who are in the same group with Australia, England and Bangladesh in the Champion's trophy, would sport a new jersey with the Amul logo on its chest during the tournament."
369,Which state declares Saturday as 'no school bag' day?,Uttar Pradesh,Punjab,Chhattisgarh,Gujarat,A,45,"Deputy Chief Minister and Education Minister Dinesh Sharma of Uttar Pradesh declare Saturday as no school bag day in all government run primary and secondary schools. It is an effort to promote extra-curricular activities among students, the Yogi Aditryanath government has decided to make Saturday a 'Funday' by involving children in creative activities."
370,Which country will host first-ever One Belt One Road (OBOR) Summit?,India,China,Netherland,Algeria,B,45,"The One Belt One Road (OBOR) Summit will be held in Bejing, China on May 14 -15, 2017. The 29 heads of state including Pakistan, Sri Lanka, Maldives and Myanmar and high-level delegations from Bangladesh and Nepal will attend the two-day Belt and Road Forum in China. India will not attend the forum. The main reason behind India's opposition towards the policy is the China-Pakistan Economic Corridor (CPEC), which is a part of OBOR."
371,Which state CM forms 'Maa' committee to keep an eye on mid-day meals served to students?,Kerala,Assam,Goa,Uttar Pradesh,D,45,"Uttar Pradesh CM Yogi Adityanath has decided to form 'Maa' committees to keep an eye on mid-day meals served to students in state-run primary schools. It will be a committee of six mothers, from all sections of society, whose students are studying in that school. It's a Mother's Day gift for lakhs of children and their moms in Uttar Pradesh."
372,Which state government is hosting the first-ever Videsh Sampark outreach programme?,Kerala,Telangana,Karnataka,Tamil Nadu,B,45,"Telangana is hosting the first outreach programme of the Ministry of External Affairs 'Videsh Sampark', to engage the State governments to create awareness about various programmes of the Ministry."
373,This became the first state of launching 'e-Sanad' project for online attestation of documents.,Andra Pradesh,Haryana,Telangana,Maharashtra,C,45,"Telangana today became the first state in the country of launching the 'e-Sanad' for online attestation of documents. It was launched under the Digital India programme aims to provide faceless, cashless, contactless and paperless document attestation and apostille services."
374,Which state secured the top position in the public affairs index(PAL)?,Tamil Nadu,Kerala,Karanataka,Andra Pradesh,B,45,"Kerala tops the first position in public affairs index (PAI) in governance in States. Tamil Nadu ranks 2 on the PAI whereas Bihar is last in public affairs index. The Public Affairs Index (PAI) is an attempt to bring together the states of the country which are culturally, economically and socially diverse, into a common data-driven framework, to facilitate an interstate comparison."
375,Who sets the record for most catches by a wicketkeeper in T20s?,MS Dhoni,Adam Gilchrist,Brendon Mccullum,Kumar Sangakkara,A,45,"MS Dhoni set the record for most catches by a wicketkeeper in T20s, taking his 124th catch against Delhi Daredevils. He has inflicted a total of 90 stumpings in his T20 career. MS Dhoni comes in next in the stumpings list with a total of 63 stumpings to name."
376,Which was the first T20 team in the world to win 100 games?,Delhi Daredevils,Kolkata Knight Riders,Royal Challengers Bangalore,Mumbai Indians,D,45,"Mumbai Indians created history & becoming the first T20 team in the world to win 100 games in their entire history. In their ten-year history, have won the Champions League T20 twice (in 2011 and 2013) and the Indian Premier League also twice (2013 and 2015)."
377,Which village won the Smart Village award 2017?,Kashigaon,Pundhe,Govardhan Eco,Yeoor,C,45,"Govardhan Eco Village, set up by the International Society for Krishna Consciousness (ISKCON) in adjoining Thane district, has won an award Samart Village 2017. The award, ""Smart Village"" has been instituted by the India Trade Promotion Organisation (ITPO)."
378,Which day is celebrated as International Day of Families?,May-10,May-15,Jul-16,Mar-22,B,45,"The International Day of Families is observed on the 15th of May every year. This day aims aims to discuss the importance of 'knowledge and skills needed to promote sustainable development through education for sustainable development and sustainable lifestyles, human rights, gender equality, promotion of a culture of peace and non-violence, global citizenship and appreciation of cultural diversity."
379,"The President of India conferred the Florence Nightingale Awards to ______ nurses on International Nurses Day at the Rashtrapati Bhavan, New Delhi.",32,36,34,35,D,45,"The President of India Shri Pranab Mukherjee conferred the Florence Nightingale Awards to 35 nurses from across the country on the occasion of International Nurses Day at the Rashrapati Bhavan. The Florence Nightingale Awards carries Rs.50,000/- cash, a certificate, a citation certificate and a Medal. It is given to the outstanding nursing personnel employed in Central, State/UTs. Nurses working in Government, Voluntary Organizations, Mission institutions and the private institutions."
380,Who is the first Indian to won the GP3 race recently?,Arjun Maini,Kamal Nath,Virat Singh,Navin Menon,A,45,"rjun Maini, the first Indian driver to win a GP3 race at the Circuit de Catalunya in Barcelona. The GP3 Series is a single-seater motor racing series launched in 2010 introduced by GP2 organiser Bruno Miche."
381,What is the name of the vaccine which is launced for Pneumonia?,Pneumococcal polysaccharide vaccine,Pneumococcal conjugate vaccine,DPT vaccine,Meningococcal vaccine,B,45,Union Minister for Health and Family Welfare J P Nadda launched new Pneumococcal Conjugate Vaccine(PCV) for Pneumonia. It will provide protection against 13 types of pneumococcal bacteria which results in pneumonia. This is used to vaccinate children under two years old as part of the NHS childhood vaccination programme.
382,Which tennis player won his fifth Madrid Open title in 2017?,Novak Djokovic,Dominic Thiem,Rafael Nadal,Andy Murray,C,45,"Rafael Nadal (2005, 2010, 2013-14, 2017) win his fifth Madrid Open title. He defeated Dominic Thiem and won 14 times the Grand Slam titles."
383,This bank business has been restricted by the Reserve Bank of India for continuous erosion of net worth and huge NPAs.,Vijaya Bank,Dena Bank,Syndicate Bank,UCO Bank,D,45,"Public sector lender Uco Bank is facing business restrictions from Reserve Bank of India (RBI) following mounting losses, continuous erosion of net worth and huge NPAs. It has become the second ender to face business restrictions after IDBI Bankfollowing RBI's revision of its PCA framework."
384,Which of the following country is going to sell high-tech chemical protective clothing to India?,Ukraine,United States of America,United Kingdom,United Arab Emirates,B,45,United States will be selling high-tech Joint Service Lightweight Integrated Suit Technology (JSLIST)to India. The sale of high-tech chemical protective clothing worth $75 million by the US to India which will protect Indian soldiers against biological and chemical warfare reflects growing bilateral defence relationship.
385,Uk and this country signs MoU to increase efficiency of urban transport system.,India,China,Pakisthan,New Zealand,A,45,"India and the UK today agreed to sign an MoU in the urban transport sector for cooperation in policy planning, technology transfer and institutional organisation. This finalised the bilateral cooperation arrangement between the Transport for London (TfL) and the India's Ministry of Road Transport and Highways to cover a wide range of transport mobility solutions and associated activities in urban environments."
386,What is the trade agreement expanded by the India - Chile recently?,Preferential Trade Agreement(PTA),Security Agreement,Cultural Agreement,Water resource agreement,A,45,"India and Chile will implement a bilateral expanded Preferential Trade Agreement (PTA) from May 16. The original PTA had a limited number of tariff lines, wherein both sides had extended tariff concessions to each other. The expanded PTA has a wider coverage of tariff concessions which covers around 96 percent of bilateral trade."
387,How many medals are won by India at the China World Para Athletics Grand Prix?,3,2,4,1,B,45,India claim two medals at World Para Athletics Grand Prix. Ramudri Someshwara Rao won a gold medal in the 200m race and Hokato Sema bagged a bronze in shot put.
388,The India's longest river bridge which is close to the border with China is located at?,Gujarat,Rajasthan,Assam,Bihar,C,45,"India's longest river bridge, capable of withstanding the weight of a 60-tonne battle tank, will be inaugurated in Assam close to the border with China on 26 May by Prime Minister Narendra Modi. The bridge is located 540 km from Assam capital Dispur and 300 km from Arunachal Pradesh capital Itanagar. The aerial distance to the Chinese border is less than 100 km."
389,Indian Railways going to install this much of CCTV cameras at 900 stations to ensure security.,"17,000","19,000","19,500","17,500",B,45,"The Indian Railways will install CCTV surveillance systems at more than 900 stations under the Nirbhaya Fund at an approved cost of Rs. 500 crore to strengthen security at rail premises. install about 19,000 high definition CCTV cameras at 983 stations across the country to ensure round-the-clock security to passengers including women."
390,What is the rank of India in World Bank Power List?,26,25,24,23,A,45,"India to be ranked 26th in World Bank's electricity accessibility list in the current year from 99th spot in 2014. Out of the 18,452 villages which lacked electricity, over 13,000 villages has been provided access to electricity."
391,Which state government made compulsory the bengali language?,West Bengal,Bihar,Kerala,Goa,A,45,"West Bengal State government has made Bengali mandatory in all schools, including private English medium schools. The decision was taken in schools comes at the backdrop of Kerala government's recent promulgation of an ordinance in April making Teaching of Malayalam compulsory in all schools of Kerala."
392,16th of May is celebrated as the ________________.,National Epilepsy Day,National Maritime Day,National Dengue Day,National Science Day,C,45,"National Dengue Day has been observed on 16th of May, 2016 by Ministry of Health and Family Welfare (MoHFW), Government of India. Tha main aim is to control the Dengue through create awareness, initiate preventive actions."
393,Which statue was declared the world's largest bust by the Guinness Book of World Records?,Shiva of Murudeshwara,Hanuman Murti,Chinmaya Ganadhish,Adiyogi Shiva,D,45,The 112 feet tall bust of 'Adiyogi' Lord Shiva has been declared the world's largest bust by the Guinness Book of World Records. Isha Foundation led by Guru Jaggi Vasudev had set up the Adiyogi bust which refers to source of Yoga and symbolises the 112 methods of self-transformation that the first Yogi or Adiyogi.
394,Who won the maiden Professional Squash Association (PSA) title recently?,Siddharth Suchde,Paul Johnson,Qamar Zaman,Ramit Tandon,D,45,"US-based Indian squash player Ramit Tandon has won his Professional Squash Association (PSA) title. This was Tandon's third appearance in a Professional Squash Association final. Tandon, who had come into this event as a qualifier beat third seed Kumar 11-3, 11 -2, 11-3 in the final."
395,Which two bank recently slashed interest rate by up to 0.3 percent for loans of up to Rs 30 lakh to promote affordable housing?,Canara and KVB,ICICI and HDFC,HDFC and Axis,Axis and Canara,B,45,"Following SBI, two leading private lenders ICICI Bank and HDFC Ltd on slashed interest rate by up to 0.3 percent for loans of up to Rs 30 lakh to promote affordable housing. New home loans rates for up to 30 lakh for women will be 8.35 percent and for other others, 8.40 percent."
396,How many medals are won by India in Asian Wrestling Championships?,8,5,10,9,C,45,"India finished with 10 medals, including one gold, five silver and four bronze at the Asian Wrestling Championship."
397,"For which missile, the United Nations Security Council held meeting recently?",North Korea Missile,BrahMos-II Missile,Kh-80 Missile,Yu-71 missile,A,45,The United Nations Security Council (UNSC) will hold an emergency meeting on North Korea's latest missile test. The long-range strategic ballistic rocket Hwasong-12 (Mars-12) is launched by North Korea.
