ID,Question,Option A,Option B,Option C,Option D,Correct Option,Timer,explaination
470,"An infant presented to the OPD with a history of vomiting and malnutrition. Patient has blue eyes, blonde hair & fair skin. On investigation, Guthrie test was found to be positive. All are true regarding this disease EXCEPT:",Due to PAH enzyme defect,White patch of hair due to tryptophan deficiency,Phenyl acetate positive in urine,Mental retardation is present,B,45,"This is Phenyl-ketonuria. Guthrie's bacterial inhibition test is a screening test for phenylketonuria (PKU), used to detect the abnormal presence of phenylalanine metabolites in blood i.e. Phenyl pyruvate, Phenyl alanine & Phenyl-lactate. FeCl3 detects phenyl alanine levels in urine. WITH REGARDS TO OTHER OPTIONS In Phenylketonuria, Phenylalanine is accumulated due to deficiency of enzyme Phenylalanine Hydroxylase. As a result Phenylalanine is not conveed to Tyrosine and is responsible for mental retardation in patients. Tyrosine becomes essential in these patients. CILINICAL MANIFESTATION CNS - Mental retardation, failure to walk and talk, growth retardation, seizures, tremors, microcephaly. Pigmentation - melanin is synthesized from tyrosine. so in PKU melanin is less result in hypopigmentation that cause light skin colour, blue eyes, fair hair Treatment - low phenylalanine content diet"
471,Which acid does not show coagulation necrosis on contact?,HC1,"H,SO4",HF,HNO3,C,45,"Ans: C. HF(Ref Reddy 34/e p493, 33/e p530; Principles of Clinical Toxicology 3/e p220; Forensic Pathology 3/ep241, 110).HF does not show coagulation necrosis on contact.Hydrofluoric acid causes liquefaction necrosis."
472,Hormones which is/are under inhibitory control of hypothalamus:,Prolactin,Prolactin only,GH,Both GH and prolactin,D,45,Prolactin - predominantly under inhibitory control by the hypothalamus GH - hypothalamus exes inhibitory as well as stimulatory effect on GH secretion (GHIH = somatostatin has inhibitory effect on GH) (GHRH = stimulates GH secretion) Almost all secretions by the pituitary are controlled by either hormonal (anterior pituitary) or nervous (posterior pituitary) from the hypothalamus.
473,In myocardial infarction the first enzyme to rise:,CPK,LDH,SGOT,Amylase,A,45,No explanation given
474,In a blood sample antiserum A and antiserum B and Rh +ve factor is added. No agglutination is seen. This is:,O group and Rh+ve,O group and Rh-ve,AB group and Rh+ve,AB group and Rh-ve,B,45,No explanation given
475,"A 22 years old male presented with history of fever, sore throat and enlarged neck lymph nodes. He was ordered a Paul-Bunnell test with a suspicion of Infectious mononucleosis. What is the immunological basis behind the use of this test?",Heterophile antibody test,Complement mediated agglutination reaction,Homophile antibody test,Latex agglutination test,A,45,Answer- A. Heterophile antibody testEpstein-Bat virus (EBV) infection includes specific antibodies to EBV and various unrelated non-EBV heterophile antibodies. These heterophile antibodies reuct to antigens from animal RBCs. Sheep RBCs agglutinate in the presence of heterophile antibodies and are the basis for the Paul-Butrnell test.
476,Histopathologic study of lichen planus shows:,Mixed cellular inflammatory infiltrate,Presence of T-Lymphocytes predominantly,Antiepithelial antibodies,Scattered infiltrate with ill-defined lower border,B,45,"Histologic features of lichen planus include: 

Saw, tooth appearance of retepegs
Liquefaction degeneration of basal layer which is replaced by thin band of eosinophilic coagulum
Presence of civatte bodies
Characteristic band Like subepithelial mononuclear infiltrate consisting of T- lymphocytes and histiocytes sharply limited to papillary and most superficial portion of the reticular layers of connective tissue
Hyperparakeratosis or hyperorthokeratosis
Thickening of granular layer"
477,Markers of acute kidney injury inculde all of the following except:,Micro RNA-122,Cystatin C,N-gal,Kim-1,A,45,No explanation given
478,The microwave method of processing resin is better than the conventional in that it provides:,Better shine,Less porosity,Less shrinkage,Color stability,B,45,No explanation given
479,"A 19-year-old woman presented with primary amenorrhea, sho stature, webbed neck and widely spaced nipples. Examination showed weak pulses in lower extremity and streak ovaries, raised FSH, no oocyte in histology of ovary. Karyotype most likely to be present:KCET 12; JIPMER 12; AIIMS 13; PGI 13",45XO,47XXY,46XY,46XX,A,45,"Ans. 45XOTurner's syndrome is a genetic disease with a karyotype of 45, X or 46, XX/45, X (mosaicism) or other structural abnormalities of X chromosomes.With conventional chromosomal studies, about 50% of Turner syndrome patients show a 45,X pattern.* Mosaicism of 45,X with other cell lines such as 46,XX, 46,XY, or 47,XXX are common.* Structural abnormalities of an X chromosome (deletions, rings, or translocations), either isolated or mosaic with a 45,X or 46,XX cell line, are also seen.* With modern cytogenetic techniques, mosaicism is increasingly being detected.* The sho stature in Turner syndrome appears to be caused by the absence of one copy of the SHOX gene, which is located on the sho arm of the X chromosome."
480,Example of excavator are all except:,Hoe,Ordinary hatchet,Enamel hatchet,Angle former,C,45,"The four subdivisions of excavators are

Ordinary hatchets
Hoes
Angle formers
Spoons

Chisels are intended primarily for cutting enamel and may be grouped as

Straight, slightly curved, or bin-angle
Enamel hatchets
Gingival margin trimmers

Sturdevants operative dentistry 7th edition page e4"
481,The special visceral afferent fibres of the facial nerve are located in which nuclei:,Motor nucleus,Nucleus ambiguous,Nucleus of tractus solitarius,Lacrimatory nucleus,C,45,No explanation given
482,Best investigation for metabolic disorders is?,Western blot,Tandem mass spectrometry,PCR,Gel electrophoresis,B,45,"Most Powerful technique of screening of inborn error of metabolism is Tandem Mass Spectrometer. *TM Spectrometer combines two mass spectrometers. The first one is used to select a single (precursor) mass, which is characteristic of given analyte in the mixture. These selected ions are collided with neutral gas for activation. The second Mass Spectrometer is used to separate the fragment ions according to mass resulting in ""MS/MS"" or MS2 spectrum. Advantage is that large number of samples can be dealt with in a sho time.. *HPLC is used as a confirmatory test of the primary test by TMS. HPLC has limited capacity, so not a good screening method. * An alternative good screening method is Microfluorometry (MFL)."
483,Strain is defined as:,An applied load or force,A deformation resulting from an applied load,An external force opposing an applied load,An internal force opposing an applied Load,B,45,"Strain—Change in dimension per unit initial dimension. For tensile and compressive strain, a change in length is measured relative to the initial reference length.
Strain, or the change in length per unit length, is the relative deformation of an object subjected to a stress. Strain may be either elastic, plastic, elastic and plastic, or viscoelastic. Elastic strain is reversible. The object fully recovers its original shape when the force is removed. 
Phillips dental materials 12th edition page no 48, 51"
484,Which cement is irritating to the pulp?,Carboxylate cement,Zinc oxide-eugenol cement,Zinc phosphate,Ethoxybenzoic acid,C,45,"The phosphoric acid in the liquid makes the mixture quite acidic and therefore cytotoxic, when a prosthesis is luted with this cement on a prepared tooth. As setting occurs, the acidity is partially neutralized, but the cement remains acidic after 24 hours, with the pH rising from about 3 to about 6. For thin layers of dentin, a cavity liner (i.e.,Ca2) is recommended to prevent an adverse pulpal response from the pressure of luting, which forces acid into the pulp tissue. Younger patients are especially susceptible, because they have a more open dentin tubule area, whereas older patients with sclerotic dentin will have a more tortuous path that restricts the penetration of acid toward the pulp.
Key concept​​ :
pH of the cement
The acidity is high at the time of insertion due to phosphoric acid. At the time of cementation, the pH is 2 (approx.). As time passes, the acidity reduces. By the end of 24 hours, the pH is 5.5, which is still in the acidic range (neutral value is 7).
Pulpal response: The pulp response may be classified as moderate."
485,APGAR scores of 30 children are recorded in a hospital and most of the readings are found to be 7 or above. What can you make out about this data distribution?,Positively skewed data,Negatively skewed data,Normal distribution,Symmetrically skewed data,B,45,"Ans: B. Negatively skewed data(Ref Park 24Ie p886, 23Ie p847, 22Ie p786; High Yield Statistics/p67)Since more number of children has a higher APGAR score, the tail of the distribution curve will be towards the right.Hence, the data will be negatively skewed.Skewed Data Negative skewPositive skewLeft tail is longerdegMass of distribution is concentrated on the right of figuredegDistribution is said to be left-skewed, left-tailed, or skewed to the leftdeg.Right tail is longerdegMass of distribution is concentrated on the left of figuredeg.Distribution is said to be right-skewed, right-tailed, or skewed to the rightdeg."
486,Is it possible to remove centric interference and working interference by reducing supporting cusps in natural dentition:,Yes,No,Yes but we should avoid it,It is not possible to remove both the interferences simultaneously.,C,45,No explanation given
487,"Incision given within hairline, 45° to zygoma is:",Gillis temporal,Alkat Bramley,Risdon,Morey,A,45,No explanation given
488,Which of the following has least density?,VLDL,LDL,HDL,Chylomicrons,D,45,"Major Classes of Lipoproteins:
Based on ultracentrifugation, in the ascending order of density is

Chylomicrons (Least density)
Very Low Density Lipoproteins (VLDL)
Low Density Lipoproteins (LDL)
Caps-Intermediate density Lipoproteins (IDL)
High Density Lipoproteins (HDL)"
489,"A 42 years old male patient presented with jaundice. His AST was 48 U, ALT was 51 U, ALP, GGTP were normal. Ultrasound of liver was suggestive of cirrhosis. Viral markers were done and the following results were obtained.TestResultAnti-HAVNegativeAnti-HBsAgNegativeAnti-HBeAgNegativeAnti-HBcAg IgGPositiveAnti-HBcAg IgMNegativeHBsAgNegativeAnti-HCVPositiveAnti-HEVNegativeWhat is the next best step in management of this patient?",Sta interferon therapy,Liver biopsy,-PCR for hepatitis C virus,PCR for HBV-DNA,C,45,"Ans: C. -PCR for hepatitis C virus(Ref Harrison 19/e p2017, 2018: 18/e p2551)Positive Anti-HBcAg IgG:Mere indicator of hepatitis B infection in past.Positive Anti-HCV antibody:Most sensitive indicator of HCV infection - Presence of HCV.Presence of Anti-HCV antibody points to hepatitis C infection a Hence HCV-RNA levels determined to establish chronic hepatitis C diagnosis before staing Interferon therapy.Requires molecular amplification by PCR.Testing for HCV RNA or repeat anti-HCV testing later stages - Necessary to establish diagnosis."
490,Action of the muscle marked (with arrow) on mandible is,Elevation,Depression,Retraction,Protraction,A,45,"Muscle marked - temporalis Elevators of mandible: MTM Masseter Elevation, protraction Temporalis Elevation retraction Medial pterygoid Elevation, protraction Depressors of mandible Lateral pterygoid Depression, protraction Mylohyoid Depression Ant. belly of digastric Depression Muscle of mastication develop from 1st pharyngeal arch Nerve - mandibular branch of trigeminal."
491,Which is associated with defect in DNA repair,Xeroderma pigmentosum,Albinism,Icthyosis,Sickle cell anaemia,A,45,No explanation given
492,A child to emergency with accidental ingestion of cyanide. It blocks citric acid cycle by blocking:,Aconitase,Acetyl-CoA production,NAO,Citrate,C,45,Ans: C. NAORef: Harper 30Ie p132)Cyanide blocks citric acid cycle by blocking NAD+
493,"When a dentist says that "" I cannot fix your teeth if you do not open your mouth wide:"" He is employing:",Problem ownership.,Voice control,Tolerance.,Flexibility.,A,45,"Problem ownership:

Negative messages like 'You must sit still'; undermine the rapport between child and dentist. ""You"" messages carry the implication that the child is wrong.
Instead ""I"" messages increase the flow of information. Eg: I cannot fix your teeth if you do not open your mouth wide. This is called problem ownership."
494,A 55-year-old male presents with severe backache for 10 days and urinary incontinence with a H/o Interveebral lumbar disc prolapse. There is no H/o fever or weight loss. What is the likely diagnosis?,Potts spine,Multiple myeloma,Cauda equine syndrome,Bone metastasis,C,45,"Ans: C: Cauda equine syndromeRef: Apley!c system of ohopaedics and fracture 9"" ed., pg. 246,480Cauda equina is tuft of fibres which begins at the end of spinal cord.Compression over this pa may cause cauda equina syndrome.Causes of Cauda equina syndrome are:Lumbar disc herniation, Spinal canal stenosis, Trauma, Abscess etc."
495,Metallic taste is due to SnF in saliva is,Stannous triphosphate,Stannic triphosphate,Tin hydroxyl phosphate,Stannous hydroxide,C,45,No explanation given
496,Pediatric patient planned for costochondral graft for TMJ ankylosis is intubated best by,Topical anesthesia plus sedation,General anaesthesia,Awake fibreoptic intubation,Tracheostomy,C,45,No explanation given
497,Thyroglossal fistula is:,Lined by squamous epithelium,Causes a bulge in neck,Inflammatory lesion,Precancerous lesion,B,45,No explanation given
498,"Fluoride pit and fissure sealants belong to which
generation?",I,II,III,IV,D,45,"TYPES OF PIT AND FISSURE SEALANTS
1. Based on curing method:
First generation:

Polymerized with ultraviolet light of 350 nm wavelength. 
Absorbs UV light excessively and prevents complete polymerization of the sealant. 
Light intensity varies from lamp to lamp.

Second generation:

Self-cured or chemically cured. 
Most of them were unfilled. 
Can be transparent, opaque or tinted. 
Filled show increased wear and abrasion resistance than unfilled.

Third generation - Visible light cured of 480-490 nm wavelength. 
Fourth generation - With addition of fluoride for added benefit.
Soben Peter
5th edition
Page no. 440"
499,Which of the following is true about Catlan's appliance?,It is used to treat cross-bite of maxillary posterior teeth,It is constructed on the lower anterior teeth with an inclined plane,If used for a long period it results in anterior deep bite,Of constructed on the upper anterior teeth it has a 45 degree angulation,B,45,No explanation given
500,Which teeth are least involved in periodontitis?,Lower incisor and lower molar,Lower premolar and upper canine,Upper molars and upper incisors,Lower incisors and upper molars,B,45,No explanation given
501,Prucalopride drug is ?,5HT4 agonist,5HT2b agonist,5HT2b antagonist,5HT2a agonist,A,45,"Ans. A. 5HT4 agonist* Prucalopride is a drug acting as a selective, high affinity 5-HT4 receptor agonist which targets the impaired motility associated with chronic constipation, thus normalizing bowel movements.* Approved for use in Europe in 2009.* Prucalopride, a first in class dihydro-benzofuran-carboxamide, is a selective, high affinity serotonin (5-HT4) receptor agonist with enterokinetic activities.* Prucalopride alters colonic motility patterns serotonin 5-HT4 receptor stimulation: it stimulates colonic mass movements, which provide the main propulsive force for defecation.* The observed effects are exeed highly selective action on 5-HT4 receptor.* Prucalopride has >150-fold higher affinity for 5-HT4 receptors than for other receptors."
502,"During voluntary movements, Golgi tendon organ has an impoant role to play because it continuously relays to the efferent neurons:",Length of the muscle at rest,Change in angle of joint during motion,Change in length of muscle before and after the movement,Tension in the muscle,D,45,"Ans: D. Tension in the muscle(Ref.: Ganong 25/e p232; Guyton 13/e p697, 701).Golgi tendon organ senses muscle tension.""The Golgi organ (also called Golgi tendon organ, GTO, tendon organ, neurotendinous organ or neurotendinous spindle) senses changes in muscle tension.It is a proprioceptive sensory receptor organ that is at the origins and inseion of skeletal muscle fibers into the tendons of skeletal muscle. It provides the sensory component of the Golgi tendon reflex."
503,"The hormone, which stimulates uterus contraction and lets down milk, is:",Progesterone,Prolactin,Prostaglandin,Oxytocin,D,45,No explanation given
504,Production and citation impact of published work of a scientist or scholar,Impact factor,Citation,H index,Z index,B,45,No explanation given
505,Ig in GCF?,Ig A,Ig M,Ig G,Ig D,C,45,No explanation given
506,The function of compensating curve is,To provide balanced occlusion in complete dentures when mandible is protruded,To aid in establishing an incisal guide,Same as function of curve of spee,None of the above,A,45,No explanation given
507,Induction of inhalational agent is faster.,Agent with high blood gas solubility,Combined with nitrous oxide,Person with increased residual volume,Right to left shunt,B,45,"Answer- B. Combined with nitrous oxideInduction of inhalational agent is faster, if it is combined with nitrous oxide.'The blood:gas paition coelficient is the mainfactor that determines the rate of induction and recovery of an inhalationanaesthesic, and the lower the blood: gas paition coefficient, the faster is induction and recovery.The second gos effect usually refers to nitrous oxide combined with an inhalation agent. Because nitrous oxide is notsoluble in blood, its rapid absorption from alveoli causes an abrupt rise in the alveolar concentration of the otherinhalation anesthetic leading to faster induction."
508,Hammock ligament is present:,Between temporal and sphenoid bone,Between hamular notch and mandible,In apical area of a tooth,As a part of deep cervical fascia,C,45,No explanation given
509,Centric holding cusp is?,Mesiobuccal cusp of maxillary 1st molar,Mesiolingual cusp of mandibular first molar,Distolingual cusp of mandibular 1st molar,Mesiopalatal cusp of maxillary 1st molar,D,45,No explanation given
510,What is the Ilekt step in management of a 32 years old woman with a 5 years history of primary infeil-ity with bilateral tubal block seen at cornu on hys-terosalpingogram?,In vitro feilization,Laparoscopy and hysteroscopy,Intracytoplasmic sperm injection,Tuboplasty,B,45,"Answer- B. Laparoscopy and hysteroscopyBilateral tubal block at cornu should be confirmed using Laparoscopy and hysteroscopy (Chromopeubation test), which is the gold standard. Trestment of choice will be tuboplosty, but other causes like spasm shoukl be ruled out ss hysterosalpingogram is not a very reliable test."
511,Pickling is done:,To remove oxide film from casting,Polish the casting,Improve the strength of casting,Avoid casting defects,A,45,No explanation given
512,MHC Class II proteins are expressed by:,"B-cells, dendritic cells and macrophages",Platelets,T-cells,All nucleated cells,A,45,"Answer- A. B-cells, dendritic cells and macrophagesMHC Class II proteins are expressed by all antigen-presenting cells, which include B-cells, follicular dendritic cells and macrophages. MHC Class I proteins are expressed by all nucleated cells, which excludes platelets and RBCsHLA class I antigens (A, B and C) are found on the surface of viually all nucleated cells- They ere the principal antigens involved in graft rejection and cell-mediated cytolysis.Class, I molecules may function as components of hormonal receptors. HLA class II antigens are more restricted in distribution, being found only on cells of the immune system macrophages, dendritic cells, activated T cells, and paicularly on B cells."""
513,Soft tissue curettage is used for:,Shallow pockets with gingivitis,Deep pockets with gingivitis,Infrabony pockets,Oedematous gingiva,A,45,No explanation given
514,All are true about RVG except:,80% reduction of patient exposure,Instant imaging,Easy to storage and retrieval.,Image is sharper than caused by silver halide.,D,45,The digital radiographic resolution is lower than produced with silver halide emulsions.
515,HCO3/H2CO3 is the best buffer because it is:,pKa near physiological pH,Its components can be increased or decreased in the body as needed,Good acceptor and donor of H+ ions,Combination of a weak acid and weak base,B,45,Ans: B. Its components can be increased or decreased in the body as needed(Ref:Harper 30/e p11; Gaizung 25/e p6).HCO/H2CO3:Best buffer.As components can be increased or decreased in body as needed.Bicarbonate buffer system:Most powerful extracellular buffer in body.Since both elements of buffer system (HCO 3- & CO).Regulated respectively by kidneys & lungs.pH of extracellular fluid precisely controlled by HCO removal & addition by kidneys & CO 2 removal by lungs.
516,Which of the following is an essential fatty acid?,Linoleic acid,Alpha linolenic acid,Both of the above,None of the above,C,45,"The fatty acids that are required by humans, but are not synthesized in the body, hence need to be supplied in the diet are known as essential fatty acid (EFA). Humans lack the enzymes that can introduce double bond beyond 9th Carbon.
They are Polyunsaturated Fatty Acid namely:

Linoleic acid.
Alpha linolenic acid.
Arachidonic acid is considered as semi-essential fatty acid as, it can be synthesized from linoleic acid."
517,In female adrenal gland secretes which hormone?,Progesterone,Testosterone,Estrogen,DHEA,D,45,"Ans. D. DHEADHEA is an endogenous steroid hormone. This means it is naturally made by the body, and it spurs specific tissues or cells into action.It is also known as androstenolone, 3b-hydroxyandrost-5-en-17-one and 5-androsten-3b-ol-17-one.DHEA is one of the most abundant steroid hormones in the human body. It is produced by the adrenal glands, the gonads, and the brain.It is normally found in the form of dehydroepiandrosterone sulfate (DHEAS).The body holds DHEAS in reserve and conves it to specific hormones when needed.It is impoant for creating estrogen and androgen sex hormones and contributes to the development of so-called androgenic effects, or masculinization.These changes include the production of oilier skin, changes in body odor, and the growth of armpit and pubic hair."
518,Which of the following is the function of Hyperpolarizing Cyclic Nucleotide (HCN) gated channels?,Cardiac rhythm generation,Generation of mitochondrial action potential,Myocardial muscle contraction,Memory formation,A,45,"Ans: A. Cardiac rhythm generationHyperpolarizing Cycling Nucleotide (HCN) gated channels:Present in SA & AV nodes.Channel opens in hyperpolarization phase.Essential for generating pacemaker potential in SA Node (cardiac rhythm generation).HCN-Nervous systemHCN-Cardiovascular systemControls neuronal excitability, synaptic transmission & rhythmic oscillatory activity in individual neurons & neuronal networks.Play an impoant role in synaptic plasticity & memory, thalamocoical rhythms & somatic sensation.Some evidence indicates they also play a role in mechanisms of epilepsy & pain.HCN4 is the main isoform expressed in the SA node, but low levels of HCN1 & HCN2 are also seen.Current through HCN channels, called ""funny current or pacemaker current"", plays a key role in generation & modulation of cardiac rhythmicity."
519,"A 4 year old child sustained a fracture in central incisor one month ago. On examination, a necrotic pulp was seen with no other pathological findings. The treatment of choice is:",Watchful observation,Extraction followed by space maintainer,Pulpectomy and root canal filling with gutta percha,Endodontic treatment and root canal filling with ZOE,D,45,"A 4 year old child sustained a fracture in central incisor one month ago. On examination, a necrotic pulp was seen with no other pathological ﬁndings. The treatment of choice is endodontic treatment and root canal ﬁlling with ZOE."
520,Both ketogenic and glucogenic amino acids as,Isoleucine,Leucine,Arginine,Glycine,A,45,No explanation given
521,"An un-immunized 13 months old child comes to you in OPD, according to the latest immunizations schedule, what vaccines will you advise??","OPV 3 doses, I IPV 3 Pentavalent and I measles","BCG, OPV 3 doses, 3 lPV, 3 Pentavalent and I measles","OPV 3 doses, I IPV 3 Pentavalent and 2 measles","OPV 3 doses, 3 IPV 3 DPI : Hep-B",D,45,"Ans: D. OPV 3 doses, 3 IPV 3 DPI : Hep-BRef: ip. o rg/file s/I A P-imm unizution-sc he du le- 2 0 I 6- I P- 2 0 I 6-E p u b. p df* The latest schedule of immunization under NIS is as follows:* vNational Immunization Schedule (NIS) for Infants, children and Presnant women - - OPV 3 doses, 3 IPV 3 DPI : Hep-B"
522,"A 32 weeks pregnant female presented with labor pains and minimal vaginal discharge, on analysis of the cervicovaginal discharge showed presence of fetal fibronectin. What is the probable diagnosis?",Preterm labour,IUGR,IUD,Cervical infection,A,45,Fibronectin is a glycoprotein that binds amnion and chorion to the decidua of uterus. Normally present in the cervicovaginal secretions before 22 weeks and after 37 weeks of pregnancy. Presence of Fibronectin (>50ng/ml) in between these weeks is suggestive of preterm labor. When the test is negative it reassures that delivery will not occur within next 7 days.
523,"A65-year-old male adult presents with chronic sinusitis, nasopharyngeal ulcers, cavitatory lung nodules and renal failure. What will be the appropriate next diagnostic step?",Lung biopsy,Sputum AFB and PCR for TB,ANCA and evaluation for vasculitis,ESR,C,45,"Ans: C. ANCA and evaluation for vasculitis(Ref Harrison 19/e p2182-2184, 18/e p2786, 2789)Suggestive of Wegener's Granulomatosis.Wegener's Granulomatosis:c-ANCA positive small vessel vasculitis. levels are required for diagnosis.Tests:Specificity of a positive antiproteinase-3 ANCA for granulomatosis with polyangiitis (Wegener's) is very high, especially if active glomerulonephritis is present.However, the presence of ANCA should be adjunctive and, with rare exceptons, should not substitute for a tissue diagnosis."
524,All of the following are true about COPD except:,Decreased FEV1,Decreased MEFR,Increased RV,Decreased diffusion capacity,D,45,No explanation given
525,Bias that arises from evaluating data on patients and hospital records only such that probability of exposure to a particular factor is increased is known as:,Berkesonian bias,Confound bias,Memory or recall bias,Selection bias,A,45,No explanation given
526,A midwife at a PI-IC is monitoring pregnancy and maintaining the paograph of pregnancy progression. At how much cervical dilation should the paograph plotting be staed?,4 cm,5 cm,6 cm,8 cm,A,45,"Answer- A. 4 cmPaograph recording is usually staed after a cervical dilation of 3 cm (not the 4 cm), i.e. the active stage of labor As 3 cm is not given in the option, we have to choose 4 cm."
527,Geniculate neuralgia is caused in the nerve,VII,IX,X,II,A,45,Geniculate neuralgia (Nervus intermedius neuralgia) results from herpes zoster infection of geniculate ganglion and nervus intermedius branch of seventh cranial nerve.
528,Empty Thecal sac sign in:,Arachnoiditis,Tethered Cord syndrome,Veebral osteomyelitis,Discitis,A,45,"* Arachnoiditis is chronic inflammation of meninges and can occur after intrathecal injection of contrast agent, infections, drugs leading to nerve root getting adhered into peripheral meninges giving the appearance of EMPTY THECAL SAC sign on T2 weighted MRI * Tethered Cord Syndrome is when the spinal cord extends below the elbow level due to lipoma of Filum terminal or post op scarring/ adhesions that prevent spinal cord from ascending upward and it remains below L2 level."
529,An absolute indication for LSCS in case of a Heart disease is:,Co-arctation of Aorta,Eisenmenger syndrome,Ebsteins anomaly,Pulmonary stenosis,A,45,"Heart disease during pregnancy, in itself is not an indication for cesarean section.
Cesarean section in heart disease is done in specific cases.

“In coarctation of aorta, elective cesarean section is indicated to prevent rupture of the aorta or mycotic cerebral aneurysm.”

Dutta Obs. 7/e, p 278"
530,Which is not true about vibrio cholera,It is non-halophilic,Grows on simple media,Man is the only natural host,Cannot survive in extracellular environment,D,45,No explanation given
531,Gene commonly indicated in congenital cataract:,PAX-6,CRYGS-3,LMX- IB,PITX-3,B,45,Answer- B. CRYGS-3'Gene-S crystalline gene (CRYGS) mutalion causes dominant progressive coical cataract in humans.
532,"A case of jaundice with 50% direct bilirubin, other LFTs normal. Diagnosis is –",Rotor syndrome,Gilbert syndrome,Glucuronyl transferase deficiency,Primary biliary cirrhosis,A,45,"50% direct bilirubin means conjugated hyperbilirubinemia.
Normally the direct (conjugated) bilirubin is less than 15-20% of total bilirubin.

Normal Values of bilirubin
Total bilirubin       >             0.2 - 1.9 mg/d1.
    Direct bilirubin >             0 - 0.3 mg/dl.

So, this child has : -


Conjugated hyperbilirubinemia
Other LFTs normal


Amongst the given options, Rotor syndrome and Primary biliary cirrhosis cause conjugated hyperbilirubinemia.
In Primary biliary cirrhosis, other LFTs are also abnormal, e.g., SGOT and SGPT are raised. Now we are left with Rotor syndrome which causes conjugated hyperbilirubinemia. Other LFTs are normal."
533,Pickling:,Is accomplished by soaking the casting in baking soda,Causes porosity in gold,Removes surface oxides from gold castings,Remove investment from gold casting,C,45,No explanation given
534,Easiest 3rd molar surgical extraction is:,Mesioangular,Horizontal,Vertical,Distoangular,A,45,No explanation given
535,"In examining the edentulous mouth of an aged patient wearing complete maxillary denture against six mandibular teeth, the dentist will see:",Cystic degeneration of the foramina of the anterior palatine nerve,Loss of osseous structure in the anterior maxilla,Flabby tissue in the posterior region,Decrease interocclusal distance,B,45,No explanation given
536,Obstructive sleep apnoea caused by the following,Mandibular ameloblasma,Dentigerous cyst,Orbital fracture,Bilateral TMJ ankylosis,D,45,No explanation given
537,Von Willebrand factor is secreted by which of the following?,Macrophages,Endothelial cells,Platelets,Fibroblast,B,45,Endothelial cells contain intracellular stores known as WeibelPallad bodies which contain Von-willebrand factor and P-selectin.
538,Factors affecting the treatment of MI,Regional wall motion abnormality,Troponin level,Both,None,C,45,No explanation given
539,All of the following are features of systemic Juvenile Rheumatoid Arthritis except –,Uveitis,Rash,Fever,Hepatosplenomegaly,A,45,"The eye manifestation are seen in Pauciarticular and Polyarticular JRA but not in systemic JRA.
Juvenile Rheumatoid Arthritis can be divided in 3 major clinical types"
540,An 80 kg male patient presented to the emergency with hypotension and you have been instructed to sta him on an inotrope at a dose of 10 mcg/kg/min. Each 5 mL amp of the drug contains 200 mg drug. You choose 2 ampules of the drug and decide to mix it with saline to make a 250 mL solution. What should be the flow rate of the drug solution to maintain the BP of the patient (assuming 16 drops = 1 mL)?,4 drops/min,8 drops/min,10 drops/min,16 drops/min,B,45,"Ans: B. 8 drops/minA dosing of 10 mgm/kg/min of drug is requiredWeight = 80 kgTotal dose required = 10x80 = 800 mgm/min = 0.8 mg/minNow two 5 mL ls each containing 200 mg is diluted to a 250 mL solution.i.e. 400 mg is mixed in 250 mLConcentration of solution: 1 mL = 400/250 = 1.6 mg/mLNow, 1 mL 16 drops = 1.6 mg i.e. 16 drops contain 1.6 mgHence, 0.8 mg/min = 8 drops/min = 0.5 mL/min"
541,"A two year old girl child is brought to the out patient with features of hand wringing stereotype movements, impaired language and communication development, breath holding spells, poor social skills and deceleration of head growth after 6 months of age. The most likely diagnosis is –",Asperger's syndrome,Rett's syndrome,Fragile x–syndrome,Colarad syndrome,B,45,"This 2 years child has following problems.


Hand wringing movements.
Impaired language and communication development.
Breath holding spells
Poor social skills
Decleration of hand growth after 6 months.


Now see the clinical features of Rett syndrome.

a. Age of onset is around 5 months.

Development may proceed normally until 1 yr of age, when regression of language and motor milestones become apparent.

a. Acquired microcephaly (Decleration of head growth due to significantly reduced brain weight).
* Most children develop peculiar sighing respirations with intermittent periods of apnea that may be associated with cyanosis --> Breath holding spells.

The hallmark of Rett syndrome is repetitive hand wringing movements and a loss ofpurposeful and spontaneous use of the hands.
Autistic behavior is a typical finding in all patients.
Generalized tonic-clonic convulsions occur in the majority.
Feeding disorder and poor weight gain are common.
Death occurs in adolescence or in the 3rd decade.
Cardiac arrhythmias may result in sudden, unexpected death.
Clinical features given in question prefectly match with Rett syndrome

Asperger syndrome 

Qualitative impairment in the development of reciprocal social interaction.
More common in males
Normal intelligence.
Eccentric interests.
No language impairments that characterize autism.
Children with Asperger syndrome appear to be at high risk for other psychiatric disorder"
542,How many scores are used in modified Dean's ﬂuorosis index?,4,6,8,5,B,45,"DEAN'S FLUOROSIS INDEX

It was introduced by Trendley H. Dean in 1934. It is also known as 'Dean's Classification System For Dental Fluorosis'.
The criteria for Dean's fluorosis index was based on a 7-point ordinal scale: normal, questionable, very mild, mild, moderate, moderately severe, and severe.

Dean's Fluorosis Index – Modified Criteria (1942)
6 points – Normal, questionable, very mild, mild, moderate, severe.
Essentials of preventive and community dentistry
5th edition
Soben Peter"
